message=cataloging configuration,power_limit=1,max_threads=228,
message=Enough threads to go around,
message=Enough power to go around,
start_task=,name=start,tick=1,start_time=3278237.608881,nthreads=1,
message=Lowering power,name=spmv,old_threads=36,new_threads=32,delta_t=0.517350,delta_p=-1.799000,
message=Lowering power,name=spmv,old_threads=32,new_threads=31,delta_t=0.541750,delta_p=-1.544000,
message=Lowering power,name=spmv,old_threads=31,new_threads=30,delta_t=0.098870,delta_p=-0.299000,
message=Lowering power,name=spmv,old_threads=30,new_threads=27,delta_t=1.254120,delta_p=-1.884000,
message=Lowering power,name=spmv,old_threads=27,new_threads=26,delta_t=0.073900,delta_p=-0.727000,
message=Lowering power,name=spmv,old_threads=26,new_threads=25,delta_t=0.590600,delta_p=-0.613000,
message=Lowering power,name=spmv,old_threads=25,new_threads=24,delta_t=0.242300,delta_p=-1.808000,
message=Lowering power,name=spmv,old_threads=24,new_threads=22,delta_t=1.109000,delta_p=-0.973000,
message=Lowering power,name=spmv,old_threads=22,new_threads=21,delta_t=0.547700,delta_p=-0.092000,
message=Lowering power,name=spmv,old_threads=21,new_threads=20,delta_t=0.703100,delta_p=-0.059000,
message=Lowering power,name=spmv,old_threads=20,new_threads=19,delta_t=0.903800,delta_p=-1.735000,
message=Lowering power,name=spmv,old_threads=19,new_threads=18,delta_t=0.349600,delta_p=-0.552000,
message=Lowering power,name=spmv,old_threads=18,new_threads=17,delta_t=0.738400,delta_p=-0.391000,
message=Lowering power,name=spmv,old_threads=17,new_threads=16,delta_t=1.001900,delta_p=-0.003000,
message=Lowering power,name=spmv,old_threads=16,new_threads=15,delta_t=1.212900,delta_p=-1.431000,
message=Lowering power,name=spmv,old_threads=15,new_threads=13,delta_t=2.768300,delta_p=-1.357000,
message=Lowering power,name=spmv,old_threads=13,new_threads=12,delta_t=2.128500,delta_p=-1.510000,
message=Lowering power,name=spmv,old_threads=12,new_threads=11,delta_t=1.186000,delta_p=-0.284000,
start_task=,name=spmv,tick=2,start_time=3278237.616224,nthreads=11,
start_task=,name=spmv,tick=2,start_time=3278237.616250,nthreads=15,
end_task=,name=spmv,start_time=1468005418.442866,elapsed_seconds=0.268933,nthreads=15,released_listeners=1,
message=Enough threads to go around,
message=Enough power to go around,
start_task=,name=subtract,tick=3,start_time=3278237.903142,nthreads=1,
end_task=,name=subtract,start_time=1468005418.729757,elapsed_seconds=0.166770,nthreads=1,released_listeners=2,
message=Enough threads to go around,
message=Need to reduce workload to fit within power budget,available=18,sum_p=75,
message=Lowering power,name=myddot,old_threads=111,new_threads=110,delta_t=0.345810,delta_p=-1.064000,
message=Lowering power,name=myddot,old_threads=110,new_threads=105,delta_t=-0.048820,delta_p=-0.804000,
message=Lowering power,name=myddot,old_threads=105,new_threads=100,delta_t=0.253200,delta_p=-0.020000,
message=Lowering power,name=myddot,old_threads=100,new_threads=95,delta_t=0.665130,delta_p=-0.648000,
message=Lowering power,name=myddot,old_threads=95,new_threads=81,delta_t=1.711460,delta_p=-0.232000,
message=Lowering power,name=myddot,old_threads=81,new_threads=78,delta_t=-1.074030,delta_p=-0.941000,
message=Lowering power,name=myddot,old_threads=78,new_threads=77,delta_t=0.603330,delta_p=-1.477000,
message=Lowering power,name=myddot,old_threads=77,new_threads=74,delta_t=1.133480,delta_p=-0.277000,
message=Lowering power,name=myddot,old_threads=74,new_threads=73,delta_t=-0.171030,delta_p=-0.086000,
message=Lowering power,name=myddot,old_threads=73,new_threads=72,delta_t=-0.289210,delta_p=-0.789000,
message=Lowering power,name=myddot,old_threads=72,new_threads=71,delta_t=0.301900,delta_p=-0.111000,
message=Lowering power,name=myddot,old_threads=71,new_threads=70,delta_t=-0.399340,delta_p=-0.653000,
message=Lowering power,name=myddot,old_threads=70,new_threads=68,delta_t=1.366120,delta_p=-0.821000,
message=Lowering power,name=myddot,old_threads=68,new_threads=64,delta_t=0.545330,delta_p=-0.603000,
message=Lowering power,name=myddot,old_threads=64,new_threads=63,delta_t=-0.297380,delta_p=-1.777000,
message=Lowering power,name=myddot,old_threads=63,new_threads=62,delta_t=0.074960,delta_p=-0.783000,
message=Lowering power,name=myddot,old_threads=62,new_threads=61,delta_t=-0.162790,delta_p=-0.829000,
message=Lowering power,name=myddot,old_threads=61,new_threads=60,delta_t=0.863440,delta_p=-0.782000,
message=Lowering power,name=myddot,old_threads=60,new_threads=58,delta_t=-0.388080,delta_p=-0.066000,
message=Lowering power,name=myddot,old_threads=58,new_threads=54,delta_t=-3.546270,delta_p=-1.546000,
message=Lowering power,name=myddot,old_threads=54,new_threads=53,delta_t=-0.377910,delta_p=-0.173000,
message=Lowering power,name=myddot,old_threads=53,new_threads=49,delta_t=1.268930,delta_p=-2.486000,
message=Lowering power,name=myddot,old_threads=49,new_threads=48,delta_t=-1.138630,delta_p=-0.067000,
message=Lowering power,name=myddot,old_threads=48,new_threads=47,delta_t=0.860050,delta_p=-1.119000,
message=Lowering power,name=myddot,old_threads=47,new_threads=46,delta_t=0.238860,delta_p=-2.430000,
message=Lowering power,name=myddot,old_threads=46,new_threads=44,delta_t=0.085900,delta_p=-1.202000,
message=Lowering power,name=myddot,old_threads=44,new_threads=43,delta_t=0.660920,delta_p=-0.616000,
message=Lowering power,name=myddot,old_threads=43,new_threads=42,delta_t=0.074350,delta_p=-0.841000,
message=Lowering power,name=myddot,old_threads=42,new_threads=41,delta_t=-0.561520,delta_p=-1.489000,
message=Lowering power,name=myddot,old_threads=41,new_threads=37,delta_t=1.185300,delta_p=-1.355000,
message=Lowering power,name=myddot,old_threads=37,new_threads=36,delta_t=-0.172030,delta_p=-1.386000,
message=Lowering power,name=myddot,old_threads=36,new_threads=34,delta_t=1.686380,delta_p=-1.629000,
message=Lowering power,name=myddot,old_threads=34,new_threads=33,delta_t=-0.750370,delta_p=-0.780000,
message=Lowering power,name=myddot,old_threads=33,new_threads=31,delta_t=1.927940,delta_p=-2.420000,
message=Lowering power,name=myddot,old_threads=31,new_threads=25,delta_t=5.628000,delta_p=-1.443000,
message=Lowering power,name=myddot,old_threads=25,new_threads=24,delta_t=0.743500,delta_p=-2.891000,
message=Lowering power,name=myddot,old_threads=24,new_threads=22,delta_t=1.198800,delta_p=-3.114000,
start_task=,name=copy,tick=4,start_time=3278238.074913,nthreads=1,
start_task=,name=myddot,tick=4,start_time=3278238.074944,nthreads=22,
end_task=,name=copy,start_time=1468005418.901528,elapsed_seconds=0.124035,nthreads=1,released_listeners=1,
message=Scaling desired threads to those available,
message=Need to reduce workload to fit within power budget,available=2,sum_p=56,
message=Lowering power,name=spmv,old_threads=195,new_threads=193,delta_t=-0.040120,delta_p=-0.303000,
message=Lowering power,name=spmv,old_threads=193,new_threads=192,delta_t=0.092180,delta_p=-0.069000,
message=Lowering power,name=spmv,old_threads=192,new_threads=189,delta_t=0.039970,delta_p=-1.093000,
message=Lowering power,name=spmv,old_threads=189,new_threads=186,delta_t=-0.012500,delta_p=-0.014000,
message=Lowering power,name=spmv,old_threads=186,new_threads=181,delta_t=0.021640,delta_p=-1.365000,
message=Lowering power,name=spmv,old_threads=181,new_threads=166,delta_t=-0.002390,delta_p=-0.054000,
message=Lowering power,name=spmv,old_threads=166,new_threads=162,delta_t=-0.047860,delta_p=-0.517000,
message=Lowering power,name=spmv,old_threads=162,new_threads=160,delta_t=-0.005340,delta_p=-2.448000,
message=Lowering power,name=spmv,old_threads=160,new_threads=83,delta_t=1.405300,delta_p=-0.850000,
message=Lowering power,name=spmv,old_threads=83,new_threads=53,delta_t=1.627310,delta_p=-0.696000,
message=Lowering power,name=spmv,old_threads=53,new_threads=52,delta_t=0.014900,delta_p=-0.878000,
message=Lowering power,name=spmv,old_threads=52,new_threads=50,delta_t=0.451050,delta_p=-0.851000,
message=Lowering power,name=spmv,old_threads=50,new_threads=48,delta_t=0.138080,delta_p=-1.680000,
message=Lowering power,name=spmv,old_threads=48,new_threads=46,delta_t=0.248610,delta_p=-2.134000,
message=Lowering power,name=spmv,old_threads=46,new_threads=45,delta_t=0.024430,delta_p=-1.699000,
message=Lowering power,name=spmv,old_threads=45,new_threads=44,delta_t=0.074460,delta_p=-0.031000,
message=Lowering power,name=spmv,old_threads=44,new_threads=43,delta_t=0.304680,delta_p=-0.866000,
message=Lowering power,name=spmv,old_threads=43,new_threads=42,delta_t=-0.009530,delta_p=-0.101000,
message=Lowering power,name=spmv,old_threads=42,new_threads=41,delta_t=0.219850,delta_p=-1.596000,
message=Lowering power,name=spmv,old_threads=41,new_threads=40,delta_t=0.276200,delta_p=-1.548000,
message=Lowering power,name=spmv,old_threads=40,new_threads=39,delta_t=-0.020830,delta_p=-0.211000,
message=Lowering power,name=spmv,old_threads=39,new_threads=38,delta_t=0.147510,delta_p=-0.476000,
message=Lowering power,name=spmv,old_threads=38,new_threads=37,delta_t=0.526630,delta_p=-2.266000,
message=Lowering power,name=spmv,old_threads=37,new_threads=36,delta_t=0.243340,delta_p=-1.636000,
message=Lowering power,name=spmv,old_threads=36,new_threads=32,delta_t=0.517350,delta_p=-1.799000,
message=Lowering power,name=spmv,old_threads=32,new_threads=31,delta_t=0.541750,delta_p=-1.544000,
message=Lowering power,name=spmv,old_threads=31,new_threads=30,delta_t=0.098870,delta_p=-0.299000,
message=Lowering power,name=spmv,old_threads=30,new_threads=27,delta_t=1.254120,delta_p=-1.884000,
message=Lowering power,name=spmv,old_threads=27,new_threads=26,delta_t=0.073900,delta_p=-0.727000,
message=Lowering power,name=spmv,old_threads=26,new_threads=25,delta_t=0.590600,delta_p=-0.613000,
message=Lowering power,name=spmv,old_threads=25,new_threads=24,delta_t=0.242300,delta_p=-1.808000,
message=Lowering power,name=spmv,old_threads=24,new_threads=22,delta_t=1.109000,delta_p=-0.973000,
message=Lowering power,name=spmv,old_threads=22,new_threads=21,delta_t=0.547700,delta_p=-0.092000,
message=Lowering power,name=spmv,old_threads=21,new_threads=20,delta_t=0.703100,delta_p=-0.059000,
message=Lowering power,name=spmv,old_threads=20,new_threads=19,delta_t=0.903800,delta_p=-1.735000,
message=Lowering power,name=spmv,old_threads=19,new_threads=18,delta_t=0.349600,delta_p=-0.552000,
start_task=,name=spmv,tick=5,start_time=3278238.202580,nthreads=18,
end_task=,name=myddot,start_time=1468005418.901560,elapsed_seconds=0.337944,nthreads=22,released_listeners=1,
end_task=,name=spmv,start_time=1468005419.029194,elapsed_seconds=0.210732,nthreads=18,released_listeners=1,
message=Enough threads to go around,
message=Need to reduce workload to fit within power budget,available=55,sum_p=75,
message=Lowering power,name=myddot,old_threads=111,new_threads=110,delta_t=0.345810,delta_p=-1.064000,
message=Lowering power,name=myddot,old_threads=110,new_threads=105,delta_t=-0.048820,delta_p=-0.804000,
message=Lowering power,name=myddot,old_threads=105,new_threads=100,delta_t=0.253200,delta_p=-0.020000,
message=Lowering power,name=myddot,old_threads=100,new_threads=95,delta_t=0.665130,delta_p=-0.648000,
message=Lowering power,name=myddot,old_threads=95,new_threads=81,delta_t=1.711460,delta_p=-0.232000,
message=Lowering power,name=myddot,old_threads=81,new_threads=78,delta_t=-1.074030,delta_p=-0.941000,
message=Lowering power,name=myddot,old_threads=78,new_threads=77,delta_t=0.603330,delta_p=-1.477000,
message=Lowering power,name=myddot,old_threads=77,new_threads=74,delta_t=1.133480,delta_p=-0.277000,
message=Lowering power,name=myddot,old_threads=74,new_threads=73,delta_t=-0.171030,delta_p=-0.086000,
message=Lowering power,name=myddot,old_threads=73,new_threads=72,delta_t=-0.289210,delta_p=-0.789000,
message=Lowering power,name=myddot,old_threads=72,new_threads=71,delta_t=0.301900,delta_p=-0.111000,
message=Lowering power,name=myddot,old_threads=71,new_threads=70,delta_t=-0.399340,delta_p=-0.653000,
message=Lowering power,name=myddot,old_threads=70,new_threads=68,delta_t=1.366120,delta_p=-0.821000,
message=Lowering power,name=myddot,old_threads=68,new_threads=64,delta_t=0.545330,delta_p=-0.603000,
message=Lowering power,name=myddot,old_threads=64,new_threads=63,delta_t=-0.297380,delta_p=-1.777000,
message=Lowering power,name=myddot,old_threads=63,new_threads=62,delta_t=0.074960,delta_p=-0.783000,
message=Lowering power,name=myddot,old_threads=62,new_threads=61,delta_t=-0.162790,delta_p=-0.829000,
start_task=,name=myddot,tick=6,start_time=3278238.436230,nthreads=61,
end_task=,name=myddot,start_time=1468005419.262844,elapsed_seconds=0.116193,nthreads=61,released_listeners=1,
end_task=,name=spmv,start_time=1468005418.442838,elapsed_seconds=1.410171,nthreads=11,released_listeners=1,
message=Enough threads to go around,
message=Enough power to go around,
start_task=,name=subtract,tick=7,start_time=3278239.031397,nthreads=1,
end_task=,name=subtract,start_time=1468005419.858011,elapsed_seconds=0.064836,nthreads=1,released_listeners=2,
message=Enough threads to go around,
message=Enough power to go around,
start_task=,name=copy,tick=8,start_time=3278239.097212,nthreads=1,
start_task=,name=myddot,tick=8,start_time=3278239.097273,nthreads=111,
end_task=,name=copy,start_time=1468005419.923826,elapsed_seconds=0.007220,nthreads=1,released_listeners=1,
message=Scaling desired threads to those available,
message=Need to reduce workload to fit within power budget,available=3,sum_p=55,
message=Lowering power,name=spmv,old_threads=117,new_threads=116,delta_t=-0.006770,delta_p=-1.274000,
message=Lowering power,name=spmv,old_threads=116,new_threads=115,delta_t=0.023500,delta_p=-1.144000,
message=Lowering power,name=spmv,old_threads=115,new_threads=114,delta_t=-0.001620,delta_p=-0.535000,
message=Lowering power,name=spmv,old_threads=114,new_threads=92,delta_t=0.465940,delta_p=-1.155000,
message=Lowering power,name=spmv,old_threads=92,new_threads=83,delta_t=0.349150,delta_p=-1.839000,
message=Lowering power,name=spmv,old_threads=83,new_threads=53,delta_t=1.627310,delta_p=-0.696000,
message=Lowering power,name=spmv,old_threads=53,new_threads=52,delta_t=0.014900,delta_p=-0.878000,
message=Lowering power,name=spmv,old_threads=52,new_threads=50,delta_t=0.451050,delta_p=-0.851000,
message=Lowering power,name=spmv,old_threads=50,new_threads=48,delta_t=0.138080,delta_p=-1.680000,
message=Lowering power,name=spmv,old_threads=48,new_threads=46,delta_t=0.248610,delta_p=-2.134000,
message=Lowering power,name=spmv,old_threads=46,new_threads=45,delta_t=0.024430,delta_p=-1.699000,
message=Lowering power,name=spmv,old_threads=45,new_threads=44,delta_t=0.074460,delta_p=-0.031000,
message=Lowering power,name=spmv,old_threads=44,new_threads=43,delta_t=0.304680,delta_p=-0.866000,
message=Lowering power,name=spmv,old_threads=43,new_threads=42,delta_t=-0.009530,delta_p=-0.101000,
message=Lowering power,name=spmv,old_threads=42,new_threads=41,delta_t=0.219850,delta_p=-1.596000,
message=Lowering power,name=spmv,old_threads=41,new_threads=40,delta_t=0.276200,delta_p=-1.548000,
message=Lowering power,name=spmv,old_threads=40,new_threads=39,delta_t=-0.020830,delta_p=-0.211000,
message=Lowering power,name=spmv,old_threads=39,new_threads=38,delta_t=0.147510,delta_p=-0.476000,
message=Lowering power,name=spmv,old_threads=38,new_threads=37,delta_t=0.526630,delta_p=-2.266000,
message=Lowering power,name=spmv,old_threads=37,new_threads=36,delta_t=0.243340,delta_p=-1.636000,
message=Lowering power,name=spmv,old_threads=36,new_threads=32,delta_t=0.517350,delta_p=-1.799000,
message=Lowering power,name=spmv,old_threads=32,new_threads=31,delta_t=0.541750,delta_p=-1.544000,
message=Lowering power,name=spmv,old_threads=31,new_threads=30,delta_t=0.098870,delta_p=-0.299000,
message=Lowering power,name=spmv,old_threads=30,new_threads=27,delta_t=1.254120,delta_p=-1.884000,
message=Lowering power,name=spmv,old_threads=27,new_threads=26,delta_t=0.073900,delta_p=-0.727000,
message=Lowering power,name=spmv,old_threads=26,new_threads=25,delta_t=0.590600,delta_p=-0.613000,
message=Lowering power,name=spmv,old_threads=25,new_threads=24,delta_t=0.242300,delta_p=-1.808000,
message=Lowering power,name=spmv,old_threads=24,new_threads=22,delta_t=1.109000,delta_p=-0.973000,
message=Lowering power,name=spmv,old_threads=22,new_threads=21,delta_t=0.547700,delta_p=-0.092000,
message=Lowering power,name=spmv,old_threads=21,new_threads=20,delta_t=0.703100,delta_p=-0.059000,
message=Lowering power,name=spmv,old_threads=20,new_threads=19,delta_t=0.903800,delta_p=-1.735000,
message=Lowering power,name=spmv,old_threads=19,new_threads=18,delta_t=0.349600,delta_p=-0.552000,
message=Lowering power,name=spmv,old_threads=18,new_threads=17,delta_t=0.738400,delta_p=-0.391000,
message=Lowering power,name=spmv,old_threads=17,new_threads=16,delta_t=1.001900,delta_p=-0.003000,
start_task=,name=spmv,tick=9,start_time=3278239.106179,nthreads=16,
end_task=,name=myddot,start_time=1468005419.923891,elapsed_seconds=0.280208,nthreads=111,released_listeners=1,
message=Enough threads to go around,
message=Enough power to go around,
start_task=,name=sum_contribs,tick=10,start_time=3278239.393015,nthreads=1,
end_task=,name=sum_contribs,start_time=1468005420.219630,elapsed_seconds=0.003090,nthreads=1,released_listeners=1,
end_task=,name=spmv,start_time=1468005419.932793,elapsed_seconds=1.363817,nthreads=16,released_listeners=1,
message=Enough threads to go around,
message=Enough power to go around,
start_task=,name=myddot,tick=11,start_time=3278240.508582,nthreads=111,
end_task=,name=myddot,start_time=1468005421.335193,elapsed_seconds=0.205699,nthreads=111,released_listeners=1,
message=Enough threads to go around,
message=Enough power to go around,
start_task=,name=sum_contribs,tick=12,start_time=3278240.723777,nthreads=1,
end_task=,name=sum_contribs,start_time=1468005421.550393,elapsed_seconds=0.000753,nthreads=1,released_listeners=1,
message=Enough threads to go around,
message=Enough power to go around,
start_task=,name=comp_alpha,tick=13,start_time=3278240.725490,nthreads=1,
end_task=,name=comp_alpha,start_time=1468005421.552104,elapsed_seconds=0.000139,nthreads=1,released_listeners=4,
message=Scaling desired threads to those available,
message=Need to reduce workload to fit within power budget,available=95,sum_p=268,
message=Lowering power,name=mydaxpy,old_threads=57,new_threads=55,delta_t=0.011960,delta_p=-2.610000,
message=Lowering power,name=mydaxpy,old_threads=55,new_threads=54,delta_t=-0.533600,delta_p=-1.156000,
message=Lowering power,name=mydaxpy,old_threads=57,new_threads=55,delta_t=0.011960,delta_p=-2.610000,
message=Lowering power,name=mydaxpy,old_threads=55,new_threads=54,delta_t=-0.533600,delta_p=-1.156000,
message=Lowering power,name=mydaxpy,old_threads=57,new_threads=55,delta_t=0.011960,delta_p=-2.610000,
message=Lowering power,name=mydaxpy,old_threads=55,new_threads=54,delta_t=-0.533600,delta_p=-1.156000,
message=Lowering power,name=mydaxpy,old_threads=57,new_threads=55,delta_t=0.011960,delta_p=-2.610000,
message=Lowering power,name=mydaxpy,old_threads=55,new_threads=54,delta_t=-0.533600,delta_p=-1.156000,
message=Lowering power,name=mydaxpy,old_threads=54,new_threads=53,delta_t=0.617400,delta_p=-1.522000,
message=Lowering power,name=mydaxpy,old_threads=53,new_threads=51,delta_t=-0.295260,delta_p=-0.978000,
message=Lowering power,name=mydaxpy,old_threads=51,new_threads=48,delta_t=-0.874490,delta_p=-0.965000,
message=Lowering power,name=mydaxpy,old_threads=54,new_threads=53,delta_t=0.617400,delta_p=-1.522000,
message=Lowering power,name=mydaxpy,old_threads=53,new_threads=51,delta_t=-0.295260,delta_p=-0.978000,
message=Lowering power,name=mydaxpy,old_threads=51,new_threads=48,delta_t=-0.874490,delta_p=-0.965000,
message=Lowering power,name=mydaxpy,old_threads=54,new_threads=53,delta_t=0.617400,delta_p=-1.522000,
message=Lowering power,name=mydaxpy,old_threads=53,new_threads=51,delta_t=-0.295260,delta_p=-0.978000,
message=Lowering power,name=mydaxpy,old_threads=51,new_threads=48,delta_t=-0.874490,delta_p=-0.965000,
message=Lowering power,name=mydaxpy,old_threads=54,new_threads=53,delta_t=0.617400,delta_p=-1.522000,
message=Lowering power,name=mydaxpy,old_threads=53,new_threads=51,delta_t=-0.295260,delta_p=-0.978000,
message=Lowering power,name=mydaxpy,old_threads=51,new_threads=48,delta_t=-0.874490,delta_p=-0.965000,
message=Lowering power,name=mydaxpy,old_threads=48,new_threads=46,delta_t=1.228610,delta_p=-3.275000,
message=Lowering power,name=mydaxpy,old_threads=46,new_threads=45,delta_t=0.403060,delta_p=-0.383000,
message=Lowering power,name=mydaxpy,old_threads=45,new_threads=43,delta_t=0.541020,delta_p=-0.083000,
message=Lowering power,name=mydaxpy,old_threads=43,new_threads=42,delta_t=0.053810,delta_p=-3.812000,
message=Lowering power,name=mydaxpy,old_threads=42,new_threads=41,delta_t=0.912390,delta_p=-0.268000,
message=Lowering power,name=mydaxpy,old_threads=41,new_threads=38,delta_t=-0.401460,delta_p=-0.936000,
message=Lowering power,name=mydaxpy,old_threads=38,new_threads=35,delta_t=0.696200,delta_p=-0.167000,
message=Lowering power,name=mydaxpy,old_threads=35,new_threads=34,delta_t=1.090980,delta_p=-1.049000,
message=Lowering power,name=mydaxpy,old_threads=34,new_threads=32,delta_t=0.159520,delta_p=-1.008000,
message=Lowering power,name=mydaxpy,old_threads=48,new_threads=46,delta_t=1.228610,delta_p=-3.275000,
message=Lowering power,name=mydaxpy,old_threads=46,new_threads=45,delta_t=0.403060,delta_p=-0.383000,
message=Lowering power,name=mydaxpy,old_threads=45,new_threads=43,delta_t=0.541020,delta_p=-0.083000,
message=Lowering power,name=mydaxpy,old_threads=43,new_threads=42,delta_t=0.053810,delta_p=-3.812000,
message=Lowering power,name=mydaxpy,old_threads=42,new_threads=41,delta_t=0.912390,delta_p=-0.268000,
message=Lowering power,name=mydaxpy,old_threads=41,new_threads=38,delta_t=-0.401460,delta_p=-0.936000,
message=Lowering power,name=mydaxpy,old_threads=38,new_threads=35,delta_t=0.696200,delta_p=-0.167000,
message=Lowering power,name=mydaxpy,old_threads=35,new_threads=34,delta_t=1.090980,delta_p=-1.049000,
message=Lowering power,name=mydaxpy,old_threads=34,new_threads=32,delta_t=0.159520,delta_p=-1.008000,
message=Lowering power,name=mydaxpy,old_threads=48,new_threads=46,delta_t=1.228610,delta_p=-3.275000,
message=Lowering power,name=mydaxpy,old_threads=46,new_threads=45,delta_t=0.403060,delta_p=-0.383000,
message=Lowering power,name=mydaxpy,old_threads=45,new_threads=43,delta_t=0.541020,delta_p=-0.083000,
message=Lowering power,name=mydaxpy,old_threads=43,new_threads=42,delta_t=0.053810,delta_p=-3.812000,
message=Lowering power,name=mydaxpy,old_threads=42,new_threads=41,delta_t=0.912390,delta_p=-0.268000,
message=Lowering power,name=mydaxpy,old_threads=41,new_threads=38,delta_t=-0.401460,delta_p=-0.936000,
message=Lowering power,name=mydaxpy,old_threads=38,new_threads=35,delta_t=0.696200,delta_p=-0.167000,
